Name;Description;Geometry;geo_point_2d
"Heuvelstraat - rue de la Colline
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Heuvelstraat - rue de la Colline<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.354081, 50.846885], [4.353469, 50.846582], [4.353357, 50.846552], [4.353222, 50.846554]]}";50.8466867313,4.35365986223
Marché Au Charbon - Kolenmarkt	Voetgangerszone/Fietszone;Marché Au Charbon - Kolenmarkt	Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.34774, 50.845478], [4.348124, 50.845686], [4.348317, 50.845849], [4.348821, 50.846332]]}";50.845871627,4.34830503591
rue des Frippers;;"{""type"": ""LineString"", ""coordinates"": [[4.351755, 50.848298], [4.352957, 50.849524]]}";50.848911,4.352356
"Petite rue des Brigittines
Voetgangerszone/Fietszone";Petite rue des Brigittines<br>Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.3490463, 50.8405308], [4.3485501, 50.8401514]]}";50.8403411,4.3487982
rue Paul Delvaux- Paul Delveauxstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.3498, 50.848499], [4.349575, 50.848686], [4.349309, 50.848931]]}";50.8487119029,4.34955178978
Martelarenplein - place des Marthyrs;;"{""type"": ""LineString"", ""coordinates"": [[4.356433, 50.852151], [4.356947, 50.851966]]}";50.8520585,4.35669
Kiekenmarkt - marché aux Poulets;;"{""type"": ""LineString"", ""coordinates"": [[4.349792, 50.849202], [4.350296, 50.848996]]}";50.849099,4.350044
Kolenmarkt -Marché au Charbon;;"{""type"": ""LineString"", ""coordinates"": [[4.348894, 50.846383], [4.348836, 50.84635], [4.348894, 50.846383]]}";50.8463665,4.348865
Martelarenplein - place des Marthyrs;;"{""type"": ""LineString"", ""coordinates"": [[4.357195, 50.852221], [4.355969, 50.850945]]}";50.851583,4.356582
Stoofstraat- rue de l'Etuve;;"{""type"": ""LineString"", ""coordinates"": [[4.349894, 50.844992], [4.350768, 50.845592], [4.351672, 50.846071], [4.351739, 50.846133], [4.35248, 50.846432]]}";50.8457686536,4.35115698358
"Kolenmarkt - Marché Au Charbon 
Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste";Kolenmarkt - Marché Au Charbon <br>Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.347748, 50.845481], [4.348134, 50.845683], [4.3487729999999996, 50.846299], [4.348864, 50.846366]]}";50.8458938054,4.34832675917
"Bloemenhof - Jardin aux Fleurs
Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste";Bloemenhof - Jardin aux Fleurs<br>Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3433104, 50.8482224], [4.3434593, 50.8480649], [4.3434674, 50.847915]]}";50.8480807564,4.34341697198
"Hoedenmakersstraat - rue des Chapeliers
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Hoedenmakersstraat - rue des Chapeliers<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3527746, 50.8462876], [4.3528014, 50.8461792], [4.3522625, 50.845412]]}";50.8458421932,4.35255920029
"Petite rue des Minimes
Voetgangerszone/Fietszone";Petite rue des Minimes<br>Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.3537268000000005, 50.8410135], [4.3543571, 50.8411389]]}";50.8410762,4.35404195
Steenstraat - rue des Pierres;;"{""type"": ""LineString"", ""coordinates"": [[4.34799, 50.847637], [4.348692, 50.847475], [4.34947, 50.847397], [4.350581, 50.847085], [4.350811, 50.84698], [4.351069, 50.84677], [4.351117, 50.846696]]}";50.847289088,4.34960982787
"Sint-Annastraat - rue St-AnnePetite 
Voetgangerszone/Fietszone";Sint-Annastraat - rue St-Anneetite Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.3551457, 50.8411101], [4.3564707, 50.8418011]]}";50.8414556,4.3558082
"Grote Markt - Grand Place
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Grote Markt - Grand Place<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""Polygon"", ""coordinates"": [[[4.35182, 50.846912], [4.3527746, 50.8462876], [4.353222, 50.846554], [4.3522328, 50.847114], [4.35182, 50.846912]]]}";50.8467076066,4.35252484472
"Anspachlaan - blvd Anpach
Voetgangerszone - Fietszone / Piétonnier - Zone cyclable";Anspachlaan - blvd Anpach<br>Voetgangerszone - Fietszone / Piétonnier - Zone cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.352303, 50.850936], [4.35167, 50.850269], [4.350774, 50.849426], [4.349395, 50.848101], [4.347314, 50.846079], [4.346616, 50.845395]]}";50.8481604478,4.34946494166
Kaasmarkt - rue Marché aux Fromages;;"{""type"": ""LineString"", ""coordinates"": [[4.351672, 50.846071], [4.352638, 50.845937], [4.352761, 50.845918], [4.353003, 50.845813], [4.35307, 50.845791], [4.35326, 50.845658], [4.353384, 50.845571], [4.353483, 50.845463], [4.353515, 50.845409], [4.353979, 50.844977]]}";50.8457013405,4.35291183197
Beenhouwersstraat- rue des Bouchers;;"{""type"": ""LineString"", ""coordinates"": [[4.356007, 50.847207], [4.355717, 50.847404], [4.355387, 50.847624], [4.355299, 50.847671], [4.355215, 50.847705], [4.354947, 50.847783], [4.354499, 50.84789], [4.354395, 50.84793], [4.354244, 50.848012], [4.354194, 50.848042], [4.354046, 50.848093], [4.353856, 50.848208], [4.353738, 50.848288], [4.353389, 50.848438], [4.353214, 50.84856], [4.35289, 50.848755], [4.352807, 50.848808], [4.352651, 50.84889], [4.352445, 50.84899]]}";50.8480882391,4.35422519868
Lollepotstraat- Rue de la Chaufrette;;"{""type"": ""LineString"", ""coordinates"": [[4.348631, 50.846872], [4.348746, 50.846933], [4.348832, 50.84699], [4.348902, 50.847002], [4.349127, 50.846973], [4.349175, 50.846948], [4.34924, 50.846853], [4.349282, 50.846773999999996], [4.349457, 50.846616], [4.349545, 50.846506]]}";50.8468424329,4.34912397506
Nieuwstraat- Rue Neuve;;"{""type"": ""LineString"", ""coordinates"": [[4.358407, 50.855132], [4.357232, 50.85396], [4.355961, 50.852718], [4.355285, 50.852098], [4.353778, 50.850526]]}";50.8528391232,4.35608205068
"Huidenmarkt - rue du marché aux Peaux
Voetgangerszone - Fietszone / Piétonnier - Zone cyclable";Huidenmarkt - rue du marché aux Peaux<br>Voetgangerszone - Fietszone / Piétonnier - Zone cyclable;"{""type"": ""LineString"", ""coordinates"": [[4.3538421, 50.8470276], [4.3542217, 50.8472876], [4.3541975, 50.8473333], [4.3542083, 50.8473579], [4.3544309, 50.8475721]]}";50.8472849206,4.3541530179
Guldenhoofdstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.351168, 50.846687], [4.35182, 50.846912]]}";50.8467995,4.351494
Antwerpsepoort - Porte d'Anvers Voetgangerszone/Fietszone;Antwerpsepoort - Porte d'Anvers Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.3528444, 50.8566696], [4.352611, 50.8562785]]}";50.85647405,4.3527277
Magdalenasteenweg - Chaussée Magdalena	Voetgangerszone/Fietszone;Magdalenasteenweg - Chaussée Magdalena	Voetgangerszone/Fietszone;"{""type"": ""LineString"", ""coordinates"": [[4.355575, 50.84465], [4.355045, 50.845331], [4.35479, 50.845702], [4.354758, 50.845812], [4.3547460000000004, 50.845933], [4.35475, 50.846028], [4.354764, 50.846092], [4.354777, 50.846117]]}";50.8453515038,4.35507363236
"Vossenstraat - rue des Renards
Voetgangerszone - fietszone / Piétonnier - Zone cycliste";Vossenstraat - rue des Renards<br>Voetgangerszone - fietszone / Piétonnier - Zone cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.346863, 50.8373329], [4.3483248, 50.8367637]]}";50.8370483,4.3475939
"rue du Finistère
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.3558726, 50.8526532], [4.3553361, 50.8528361]]}";50.85274465,4.35560435
